state,language,lang_id
Andhra Pradesh,telugu,te
Andaman & Nicobar Islands,bengali,bn
Assam,assamese,N/A
Bihar,hindi,hi
Chandigarh,hindi,hi
Chattisgarh,hindi,hi
Delhi,hindi,hi
Gujrat,gujrati,gu
Haryana,hindi,hi
Himachal Pradesh,hindi,hi
Jammu & Kashmir,kashmiri,N/A
Jharkhand,hindi,hi
Karnataka,kannada,kn
Kerala,malayalam,ml
Madhya Pradesh,hindi,hi
Meghalaya,khasi,N/A
Maharashtra,marathi,mr
Manipur,manipuri,N/A
Odisha,odia,N/A
Puducherry,tamil,ta
Punjab,punjabi,pa
Rajasthan,hindi,hi
Tamil Nadu,tamil,ta
Tripura,bengali,bn
Telangana,telugu,te
Uttar Pradesh,hindi,hi
Uttarakhand,hindi,hi
West Bengal,bengali,bn
